state,statefp,placefp,placename,type,funcstat,county,city
WA,53,22080,Ephrata city,Incorporated Place,A,Grant County,Ephrata
WA,53,22118,Erlands Point-Kitsap Lake CDP,Census Designated Place,S,Kitsap County,Erlands Point-Kitsap Lake
WA,53,22150,Eschbach CDP,Census Designated Place,S,Yakima County,Eschbach
WA,53,22255,Esperance CDP,Census Designated Place,S,Snohomish County,Esperance
WA,53,22640,Everett city,Incorporated Place,A,Snohomish County,Everett
WA,53,22745,Everson city,Incorporated Place,A,Whatcom County,Everson
WA,53,22955,Fairchild AFB CDP,Census Designated Place,S,Spokane County,Fairchild AFB
WA,53,22990,Fairfield town,Incorporated Place,A,Spokane County,Fairfield
WA,53,23160,Fairwood CDP,Census Designated Place,S,King County,Fairwood
WA,53,23165,Fairwood CDP,Census Designated Place,S,Spokane County,Fairwood
WA,53,23200,Fall City CDP,Census Designated Place,S,King County,Fall City
WA,53,23340,Farmington town,Incorporated Place,A,Whitman County,Farmington
WA,53,23515,Federal Way city,Incorporated Place,A,King County,Federal Way
WA,53,23550,Felida CDP,Census Designated Place,S,Clark County,Felida
WA,53,23620,Ferndale city,Incorporated Place,A,Whatcom County,Ferndale
WA,53,23690,Fern Prairie CDP,Census Designated Place,S,Clark County,Fern Prairie
WA,53,23795,Fife city,Incorporated Place,A,Pierce County,Fife
WA,53,23830,Fife Heights CDP,Census Designated Place,S,Pierce County,Fife Heights
WA,53,23865,Finley CDP,Census Designated Place,S,Benton County,Finley
WA,53,23970,Fircrest city,Incorporated Place,A,Pierce County,Fircrest
WA,53,24188,Five Corners CDP,Census Designated Place,S,Clark County,Five Corners
WA,53,24425,Fobes Hill CDP,Census Designated Place,S,Snohomish County,Fobes Hill
WA,53,24565,Fords Prairie CDP,Census Designated Place,S,Lewis County,Fords Prairie
WA,53,24810,Forks city,Incorporated Place,A,Clallam County,Forks
WA,53,24915,Fort Lewis CDP,Census Designated Place,S,Pierce County,Fort Lewis
WA,53,25300,Four Lakes CDP,Census Designated Place,S,Spokane County,Four Lakes
WA,53,25370,Fox Island CDP,Census Designated Place,S,Pierce County,Fox Island
WA,53,25475,Frederickson CDP,Census Designated Place,S,Pierce County,Frederickson
WA,53,25510,Freeland CDP,Census Designated Place,S,Island County,Freeland
WA,53,25615,Friday Harbor town,Incorporated Place,A,San Juan County,Friday Harbor
WA,53,26140,Garfield town,Incorporated Place,A,Whitman County,Garfield
WA,53,26245,Garrett CDP,Census Designated Place,S,Walla Walla County,Garrett
WA,53,26420,Geneva CDP,Census Designated Place,S,Whatcom County,Geneva
WA,53,26455,George city,Incorporated Place,A,Grant County,George
WA,53,26735,Gig Harbor city,Incorporated Place,A,Pierce County,Gig Harbor
WA,53,26875,Glacier CDP,Census Designated Place,S,Whatcom County,Glacier
WA,53,26945,Gleed CDP,Census Designated Place,S,Yakima County,Gleed
WA,53,27365,Gold Bar city,Incorporated Place,A,Snohomish County,Gold Bar
WA,53,27435,Goldendale city,Incorporated Place,A,Klickitat County,Goldendale
WA,53,27680,Gorst CDP,Census Designated Place,S,Kitsap County,Gorst
WA,53,27785,Graham CDP,Census Designated Place,S,Pierce County,Graham
WA,53,27855,Grand Coulee city,Incorporated Place,A,Grant County,Grand Coulee
WA,53,27890,Grand Mound CDP,Census Designated Place,S,Thurston County,Grand Mound
WA,53,27925,Grandview city,Incorporated Place,A,Yakima County,Grandview
WA,53,27960,Granger city,Incorporated Place,A,Yakima County,Granger
WA,53,27995,Granite Falls city,Incorporated Place,A,Snohomish County,Granite Falls
WA,53,28135,Grapeview CDP,Census Designated Place,S,Mason County,Grapeview
WA,53,28345,Grayland CDP,Census Designated Place,S,Grays Harbor County,Grayland
WA,53,28450,Grays River CDP,Census Designated Place,S,Wahkiakum County,Grays River
WA,53,28590,Green Bluff CDP,Census Designated Place,S,Spokane County,Green Bluff
WA,53,28695,Greenwater CDP,Census Designated Place,S,Pierce County,Greenwater
WA,53,29255,Hamilton town,Incorporated Place,A,Skagit County,Hamilton
WA,53,29430,Hansville CDP,Census Designated Place,S,Kitsap County,Hansville
WA,53,29710,Harrah town,Incorporated Place,A,Yakima County,Harrah
WA,53,29745,Harrington city,Incorporated Place,A,Lincoln County,Harrington
WA,53,29920,Hartline town,Incorporated Place,A,Grant County,Hartline
WA,53,30030,Hat Island CDP,Census Designated Place,S,Snohomish County,Hat Island
WA,53,30060,Hatton town,Incorporated Place,A,Adams County,Hatton
WA,53,30305,Hazel Dell CDP,Census Designated Place,S,Clark County,Hazel Dell
WA,53,30690,Herron Island CDP,Census Designated Place,S,Pierce County,Herron Island
WA,53,30750,High Bridge CDP,Census Designated Place,S,Snohomish County,High Bridge
WA,53,31495,Hobart CDP,Census Designated Place,S,King County,Hobart
WA,53,31530,Hockinson CDP,Census Designated Place,S,Clark County,Hockinson
