state,statefp,placefp,placename,type,funcstat,county,city
WA,53,55855,Port Townsend city,Incorporated Place,A,Jefferson County,Port Townsend
WA,53,55995,Poulsbo city,Incorporated Place,A,Kitsap County,Poulsbo
WA,53,56150,Prairie Heights CDP,Census Designated Place,S,Pierce County,Prairie Heights
WA,53,56170,Prairie Ridge CDP,Census Designated Place,S,Pierce County,Prairie Ridge
WA,53,56240,Prescott city,Incorporated Place,A,Walla Walla County,Prescott
WA,53,56450,Prosser city,Incorporated Place,A,Benton County,Prosser
WA,53,56555,Puget Island CDP,Census Designated Place,S,Wahkiakum County,Puget Island
WA,53,56625,Pullman city,Incorporated Place,A,Whitman County,Pullman
WA,53,56660,Purdy CDP,Census Designated Place,S,Pierce County,Purdy
WA,53,56695,Puyallup city,Incorporated Place,A,Pierce County,Puyallup
WA,53,56905,Queets CDP,Census Designated Place,S,"Grays Harbor County, Jefferson County",Queets
WA,53,56975,Quilcene CDP,Census Designated Place,S,Jefferson County,Quilcene
WA,53,57030,Qui-nai-elt Village CDP,Census Designated Place,S,Grays Harbor County,Qui-nai-elt Village
WA,53,57115,Quincy city,Incorporated Place,A,Grant County,Quincy
WA,53,57140,Raft Island CDP,Census Designated Place,S,Pierce County,Raft Island
WA,53,57220,Rainier city,Incorporated Place,A,Thurston County,Rainier
WA,53,57395,Ravensdale CDP,Census Designated Place,S,King County,Ravensdale
WA,53,57430,Raymond city,Incorporated Place,A,Pacific County,Raymond
WA,53,57465,Reardan town,Incorporated Place,A,Lincoln County,Reardan
WA,53,57535,Redmond city,Incorporated Place,A,King County,Redmond
WA,53,57745,Renton city,Incorporated Place,A,King County,Renton
WA,53,57850,Republic city,Incorporated Place,A,Ferry County,Republic
WA,53,58235,Richland city,Incorporated Place,A,Benton County,Richland
WA,53,58410,Ridgefield city,Incorporated Place,A,Clark County,Ridgefield
WA,53,58725,Ritzville city,Incorporated Place,A,Adams County,Ritzville
WA,53,58742,Riverbend CDP,Census Designated Place,S,King County,Riverbend
WA,53,58777,River Road CDP,Census Designated Place,S,Clallam County,River Road
WA,53,58795,Riverside town,Incorporated Place,A,Okanogan County,Riverside
WA,53,58865,Riverton CDP,Census Designated Place,S,King County,Riverton
WA,53,59110,Rochester CDP,Census Designated Place,S,Thurston County,Rochester
WA,53,59145,Rockford town,Incorporated Place,A,Spokane County,Rockford
WA,53,59180,Rock Island city,Incorporated Place,A,Douglas County,Rock Island
WA,53,59250,Rockport CDP,Census Designated Place,S,Skagit County,Rockport
WA,53,59390,Rocky Point CDP,Census Designated Place,S,Kitsap County,Rocky Point
WA,53,59635,Ronald CDP,Census Designated Place,S,Kittitas County,Ronald
WA,53,59705,Roosevelt CDP,Census Designated Place,S,Klickitat County,Roosevelt
WA,53,59775,Rosalia town,Incorporated Place,A,Whitman County,Rosalia
WA,53,59845,Rosburg CDP,Census Designated Place,S,Wahkiakum County,Rosburg
WA,53,59880,Rosedale CDP,Census Designated Place,S,Pierce County,Rosedale
WA,53,60055,Roslyn city,Incorporated Place,A,Kittitas County,Roslyn
WA,53,60160,Roy city,Incorporated Place,A,Pierce County,Roy
WA,53,60230,Royal City city,Incorporated Place,A,Grant County,Royal City
WA,53,60510,Ruston town,Incorporated Place,A,Pierce County,Ruston
WA,53,60580,Ryderwood CDP,Census Designated Place,S,Cowlitz County,Ryderwood
WA,53,60860,St. John town,Incorporated Place,A,Whitman County,St. John
WA,53,61000,Salmon Creek CDP,Census Designated Place,S,Clark County,Salmon Creek
WA,53,61115,Sammamish city,Incorporated Place,A,King County,Sammamish
WA,53,61235,Santiago CDP,Census Designated Place,S,Grays Harbor County,Santiago
WA,53,61350,Satsop CDP,Census Designated Place,S,Grays Harbor County,Satsop
WA,53,62120,Seabeck CDP,Census Designated Place,S,Kitsap County,Seabeck
WA,53,62288,SeaTac city,Incorporated Place,A,King County,SeaTac
WA,53,63000,Seattle city,Incorporated Place,A,King County,Seattle
WA,53,63210,Sedro-Woolley city,Incorporated Place,A,Skagit County,Sedro-Woolley
WA,53,63245,Sekiu CDP,Census Designated Place,S,Clallam County,Sekiu
WA,53,63280,Selah city,Incorporated Place,A,Yakima County,Selah
WA,53,63385,Sequim city,Incorporated Place,A,Clallam County,Sequim
WA,53,63545,Shadow Lake CDP,Census Designated Place,S,King County,Shadow Lake
WA,53,63735,Shelton city,Incorporated Place,A,Mason County,Shelton
WA,53,63960,Shoreline city,Incorporated Place,A,King County,Shoreline
WA,53,64190,Silvana CDP,Census Designated Place,S,Snohomish County,Silvana
WA,53,64365,Silverdale CDP,Census Designated Place,S,Kitsap County,Silverdale
WA,53,64380,Silver Firs CDP,Census Designated Place,S,Snohomish County,Silver Firs
WA,53,64610,Sisco Heights CDP,Census Designated Place,S,Snohomish County,Sisco Heights
WA,53,64755,Skamokawa Valley CDP,Census Designated Place,S,Wahkiakum County,Skamokawa Valley
WA,53,64775,Skokomish CDP,Census Designated Place,S,Mason County,Skokomish
WA,53,64855,Skykomish town,Incorporated Place,A,King County,Skykomish
WA,53,65170,Snohomish city,Incorporated Place,A,Snohomish County,Snohomish
WA,53,65205,Snoqualmie city,Incorporated Place,A,King County,Snoqualmie
WA,53,65275,Snoqualmie Pass CDP,Census Designated Place,S,Kittitas County,Snoqualmie Pass
WA,53,65345,Soap Lake city,Incorporated Place,A,Grant County,Soap Lake
WA,53,65625,South Bend city,Incorporated Place,A,Pacific County,South Bend
WA,53,65765,South Cle Elum town,Incorporated Place,A,Kittitas County,South Cle Elum
WA,53,65810,South Creek CDP,Census Designated Place,S,Pierce County,South Creek
WA,53,65922,South Hill CDP,Census Designated Place,S,Pierce County,South Hill
WA,53,66045,South Prairie town,Incorporated Place,A,Pierce County,South Prairie
WA,53,66185,South Wenatchee CDP,Census Designated Place,S,Chelan County,South Wenatchee
WA,53,66220,Southworth CDP,Census Designated Place,S,Kitsap County,Southworth
WA,53,66255,Spanaway CDP,Census Designated Place,S,Pierce County,Spanaway
WA,53,66290,Spangle city,Incorporated Place,A,Spokane County,Spangle
WA,53,67000,Spokane city,Incorporated Place,A,Spokane County,Spokane
WA,53,67167,Spokane Valley city,Incorporated Place,A,Spokane County,Spokane Valley
WA,53,67175,Sprague city,Incorporated Place,A,Lincoln County,Sprague
WA,53,67210,Springdale town,Incorporated Place,A,Stevens County,Springdale
WA,53,67435,Stansberry Lake CDP,Census Designated Place,S,Pierce County,Stansberry Lake
WA,53,67455,Stanwood city,Incorporated Place,A,Snohomish County,Stanwood
WA,53,67490,Starbuck town,Incorporated Place,A,Columbia County,Starbuck
WA,53,67595,Startup CDP,Census Designated Place,S,Snohomish County,Startup
WA,53,67770,Steilacoom town,Incorporated Place,A,Pierce County,Steilacoom
WA,53,67805,Steptoe CDP,Census Designated Place,S,Whitman County,Steptoe
WA,53,67875,Stevenson city,Incorporated Place,A,Skamania County,Stevenson
WA,53,68200,Sudden Valley CDP,Census Designated Place,S,Whatcom County,Sudden Valley
WA,53,68260,Sultan city,Incorporated Place,A,Snohomish County,Sultan
WA,53,68330,Sumas city,Incorporated Place,A,Whatcom County,Sumas
WA,53,68365,Summit CDP,Census Designated Place,S,Pierce County,Summit
WA,53,68410,Summit View CDP,Census Designated Place,S,Pierce County,Summit View
WA,53,68417,Summitview CDP,Census Designated Place,S,Yakima County,Summitview
WA,53,68435,Sumner city,Incorporated Place,A,Pierce County,Sumner
WA,53,68480,Sunday Lake CDP,Census Designated Place,S,Snohomish County,Sunday Lake
WA,53,68750,Sunnyside city,Incorporated Place,A,Yakima County,Sunnyside
WA,53,68785,Sunnyslope CDP,Census Designated Place,S,Chelan County,Sunnyslope
WA,53,69170,Suquamish CDP,Census Designated Place,S,Kitsap County,Suquamish
WA,53,69280,Swede Heaven CDP,Census Designated Place,S,Snohomish County,Swede Heaven
WA,53,70000,Tacoma city,Incorporated Place,A,Pierce County,Tacoma
WA,53,70175,Taholah CDP,Census Designated Place,S,Grays Harbor County,Taholah
WA,53,70245,Tampico CDP,Census Designated Place,S,Yakima County,Tampico
WA,53,70280,Tanglewilde CDP,Census Designated Place,S,Thurston County,Tanglewilde
WA,53,70315,Tanner CDP,Census Designated Place,S,King County,Tanner
WA,53,70560,Tekoa city,Incorporated Place,A,Whitman County,Tekoa
WA,53,70630,Tenino city,Incorporated Place,A,Thurston County,Tenino
WA,53,70805,Terrace Heights CDP,Census Designated Place,S,Yakima County,Terrace Heights
WA,53,71225,Thorp CDP,Census Designated Place,S,Kittitas County,Thorp
WA,53,71330,Three Lakes CDP,Census Designated Place,S,Snohomish County,Three Lakes
WA,53,71400,Tieton town,Incorporated Place,A,Yakima County,Tieton
WA,53,71680,Tokeland CDP,Census Designated Place,S,Pacific County,Tokeland
WA,53,71785,Toledo city,Incorporated Place,A,Lewis County,Toledo
WA,53,71890,Tonasket city,Incorporated Place,A,Okanogan County,Tonasket
WA,53,71960,Toppenish city,Incorporated Place,A,Yakima County,Toppenish
WA,53,71995,Torboy CDP,Census Designated Place,S,Ferry County,Torboy
WA,53,72030,Touchet CDP,Census Designated Place,S,Walla Walla County,Touchet
WA,53,72170,Town and Country CDP,Census Designated Place,S,Spokane County,Town and Country
WA,53,72205,Tracyton CDP,Census Designated Place,S,Kitsap County,Tracyton
WA,53,72450,Trout Lake CDP,Census Designated Place,S,Klickitat County,Trout Lake
WA,53,72625,Tukwila city,Incorporated Place,A,King County,Tukwila
WA,53,72905,Tumwater city,Incorporated Place,A,Thurston County,Tumwater
WA,53,73065,Twin Lakes CDP,Census Designated Place,S,Ferry County,Twin Lakes
WA,53,73080,Twisp town,Incorporated Place,A,Okanogan County,Twisp
WA,53,73255,Union CDP,Census Designated Place,S,Mason County,Union
WA,53,73290,Union Gap city,Incorporated Place,A,Yakima County,Union Gap
WA,53,73307,Union Hill-Novelty Hill CDP,Census Designated Place,S,King County,Union Hill-Novelty Hill
WA,53,73360,Uniontown town,Incorporated Place,A,Whitman County,Uniontown
WA,53,73465,University Place city,Incorporated Place,A,Pierce County,University Place
WA,53,73580,Upper Elochoman CDP,Census Designated Place,S,Wahkiakum County,Upper Elochoman
WA,53,73780,Vader city,Incorporated Place,A,Lewis County,Vader
WA,53,73885,Valley CDP,Census Designated Place,S,Stevens County,Valley
WA,53,74060,Vancouver city,Incorporated Place,A,Clark County,Vancouver
WA,53,74200,Vantage CDP,Census Designated Place,S,Kittitas County,Vantage
WA,53,74305,Vashon CDP,Census Designated Place,S,King County,Vashon
WA,53,74445,Vaughn CDP,Census Designated Place,S,Pierce County,Vaughn
WA,53,74585,Venersborg CDP,Census Designated Place,S,Clark County,Venersborg
WA,53,74760,Verlot CDP,Census Designated Place,S,Snohomish County,Verlot
WA,53,75565,Waitsburg city,Incorporated Place,A,Walla Walla County,Waitsburg
WA,53,75775,Walla Walla city,Incorporated Place,A,Walla Walla County,Walla Walla
WA,53,75810,Walla Walla East CDP,Census Designated Place,S,Walla Walla County,Walla Walla East
WA,53,75905,Waller CDP,Census Designated Place,S,Pierce County,Waller
WA,53,75985,Wallula CDP,Census Designated Place,S,Walla Walla County,Wallula
WA,53,76055,Walnut Grove CDP,Census Designated Place,S,Clark County,Walnut Grove
WA,53,76125,Wapato city,Incorporated Place,A,Yakima County,Wapato
WA,53,76160,Warden city,Incorporated Place,A,Grant County,Warden
WA,53,76195,Warm Beach CDP,Census Designated Place,S,Snohomish County,Warm Beach
WA,53,76405,Washougal city,Incorporated Place,A,Clark County,Washougal
WA,53,76440,Washtucna town,Incorporated Place,A,Adams County,Washtucna
WA,53,76510,Waterville town,Incorporated Place,A,Douglas County,Waterville
WA,53,76615,Wauna CDP,Census Designated Place,S,Pierce County,Wauna
WA,53,76720,Waverly town,Incorporated Place,A,Spokane County,Waverly
WA,53,77105,Wenatchee city,Incorporated Place,A,Chelan County,Wenatchee
WA,53,77297,West Clarkston-Highland CDP,Census Designated Place,S,Asotin County,West Clarkston-Highland
WA,53,77612,West Pasco CDP,Census Designated Place,S,Franklin County,West Pasco
WA,53,77630,Westport city,Incorporated Place,A,Grays Harbor County,Westport
WA,53,77665,West Richland city,Incorporated Place,A,Benton County,West Richland
WA,53,77745,West Side Highway CDP,Census Designated Place,S,Cowlitz County,West Side Highway
WA,53,78155,Whidbey Island Station CDP,Census Designated Place,S,Island County,Whidbey Island Station
WA,53,78225,White Center CDP,Census Designated Place,S,King County,White Center
WA,53,78330,White Salmon city,Incorporated Place,A,Klickitat County,White Salmon
WA,53,78365,White Swan CDP,Census Designated Place,S,Yakima County,White Swan
WA,53,78680,Wilbur town,Incorporated Place,A,Lincoln County,Wilbur
WA,53,78780,Wilderness Rim CDP,Census Designated Place,S,King County,Wilderness Rim
WA,53,78925,Wilkeson town,Incorporated Place,A,Pierce County,Wilkeson
WA,53,78995,Willapa CDP,Census Designated Place,S,Pacific County,Willapa
WA,53,79135,Wilson Creek town,Incorporated Place,A,Grant County,Wilson Creek
WA,53,79275,Winlock city,Incorporated Place,A,Lewis County,Winlock
WA,53,79380,Winthrop town,Incorporated Place,A,Okanogan County,Winthrop
WA,53,79485,Wishram CDP,Census Designated Place,S,Klickitat County,Wishram
WA,53,79555,Wollochet CDP,Census Designated Place,S,Pierce County,Wollochet
WA,53,79590,Woodinville city,Incorporated Place,A,King County,Woodinville
WA,53,79625,Woodland city,Incorporated Place,A,"Clark County, Cowlitz County",Woodland
WA,53,79825,Woods Creek CDP,Census Designated Place,S,Snohomish County,Woods Creek
WA,53,79835,Woodway city,Incorporated Place,A,Snohomish County,Woodway
WA,53,79975,Yacolt town,Incorporated Place,A,Clark County,Yacolt
WA,53,80010,Yakima city,Incorporated Place,A,Yakima County,Yakima
WA,53,80150,Yarrow Point town,Incorporated Place,A,King County,Yarrow Point
WA,53,80220,Yelm city,Incorporated Place,A,Thurston County,Yelm
WA,53,80500,Zillah city,Incorporated Place,A,Yakima County,Zillah
